"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion ","Udm","Metraje","Formato","Tipo","Tipologia ","Color","Acabado","Corte","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos"
"Renujal","Master","Pisos ","Pisos Renujal ","CAS776","MYST 66 BLACK 60X60 5PZ 1.80M2","M2",1.8,"60X60","Cerámico","Piedra","Negro","Estructurado","No Rectificado"," $499.00 "," $277.22 ",13.79%," $239.00 "," $209.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS772","DOM WHITE BRILLO 60X60 5PZ 1.80M2","M2",1.8,"60X60","Cerámico","Marmol","blanco","Brillo","No Rectificado"," $589.00 "," $327.22 ",26.96%," $239.00 "," $216.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS1411","PISO CIPRIANI GREY 30X60 11PZ 1.98 M2","M2",1.98,"30X60","Cerámico","Piedra","gris","Mate","Rectificado"," $596.00 "," $301.01 ",20.60%," $239.00 "," $229.00 "
"Daltile","Master","Pisos ","Pisos Daltile","ZA612424RC1P7","ZA61 60x60 cm Rect. Aurora Bianco 1a. Cal 1.8M2","M2",1.8,"60x60","Cerámico","Marmol","Blanco","Mate","Rectificado"," $549.00 "," $305.00 ",21.64%," $239.00 "," $229.00 "
"Daltile","Master","Pisos ","Pisos Daltile","ZLC02424RC1P7","ZLC0 60 cm x 60 cm Rect. Lucca Bianco 1a. Cal. 1.8M2","M2",1.8,"60x60","Cerámico","Marmol","Blanco","Brillante","Rectificado"," $569.00 "," $316.11 ",21.23%," $249.00 "," $239.00 "
"Vitromex","Master","Pisos ","Pisos Vitromex",521424411124031,"MURO MEDITERRANEO AZUL 28X60 CM 1.68 M2/CAJA 10 PZ","M2",1.68,"28x60","Cerámico","Monocolor","Azul","Brillante","No Rectificado"," $519.00 "," $308.93 ",16.16%," $259.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",521424411007031,"MURO MEDITERRANEO BLANCO 28X60 CM 1.68 M2/CAJA 10 PZ","M2",1.68,"28x60","Cerámico","Monocolor","Blanco","Brillante","No Rectificado"," $519.00 "," $308.93 ",16.16%," $259.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",521424411125031,"MURO MEDITERRANEO CREMA 28X60 CM 1.68 M2/CAJA 10 PZ","M2",1.68,"28x60","Cerámico","Monocolor","Crema","Brillante","No Rectificado"," $519.00 "," $308.93 ",16.16%," $259.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",521424411011031,"MURO MEDITERRANEO GRIS 28X60 CM 1.68 M2/CAJA 10 PZ","M2",1.68,"28x60","Cerámico","Monocolor","Gris","Brillante","No Rectificado"," $519.00 "," $308.93 ",16.16%," $259.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",521424411016031,"MURO MEDITERRANEO NEGRO 28X60 CM 1.68 M2/CAJA 10 PZ","M2",1.68,"28x60","Cerámico","Monocolor","Negro","Brillante","No Rectificado"," $519.00 "," $308.93 ",16.16%," $259.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",521424411098031,"MURO MEDITERRANEO VERDE 28X60 CM 1.68 M2/CAJA 10 PZ","M2",1.68,"28x60","Cerámico","Monocolor","Verde","Brillante","No Rectificado"," $519.00 "," $308.93 ",16.16%," $259.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522533143067011,"PISO NAPA BR WHITE 60X60 CM 1.8 M2/CAJA RECT","M2",1.8,"60x60","Cerámico","Marmol","Blanco","Brillante","Rectificado"," $569.00 "," $316.11 ",18.07%," $259.00 "," $-   "
"Daltile","Master","Pisos ","Pisos Daltile","GLD4848RB1P7","GLD4 20 cm x 120 Rect. Legend Brown 1a. Cal 1.19M2","M2",1.19,"20x120","Cerámico","Madera","Café","Mate","Rectificado"," $549.00 "," $461.34 ",15.68%," $389.00 "," $379.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS9407","PISO MADEIRA 32 COFFE 30X120 1.76 M2","M2",1.76,"30X120","Cerámico","Madera","Café","Estructurado","Rectificado"," $599.00 "," $340.34 ",20.96%," $269.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS9408","PISO MADEIRA 32 SAND 30X120 1.76 M2","M2",1.76,"30X120","Cerámico","Madera","Beige","Estructurado","Rectificado"," $599.00 "," $340.34 ",20.96%," $269.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100147","PISO BLUES CAFE 60X120 1.42M2","M2",1.42,"60X120","Cerámico","Madera","Café","Mate","Rectificado"," $529.00 "," $372.54 ",30.48%," $259.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100134","PISO VOLCANO OXFORD 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Piedra","gris","Mate","Rectificado"," $559.00 "," $393.66 ",34.21%," $259.00 "," $259.00 "
"Vitromex","Master","Pisos ","Pisos Vitromex",522065143011011,"PISO BERNAL GRIS 60.5X60.5 CM 1.83 M2/CAJA","M2",1.83,"60.5x60.5","Cerámico","Cantera","Gris","Mate","No Rectificado"," $589.00 "," $321.86 ",16.42%," $269.00 "," $-   "
"Vitromex","Master","Pisos ","Pisos Vitromex",522065143567011,"PISO BERNAL GRAFITO 60.5x60.5 CM 1.83 M2/CAJA","M2",1.83,"60.5x60.5","Cerámico","Cantera","Gris","Mate","No Rectificado"," $589.00 "," $321.86 ",16.42%," $269.00 "," $-   "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS9409","PISO MADEIRA 32 SILVER 30X120 1.76 M2","M2",1.76,"30X120","Cerámico","Madera","Gris","Estructurado","Rectificado"," $599.00 "," $340.34 ",20.96%," $269.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS94010","PISO RECT NORUEGA 22 GRIS 20X120 1.83M2","M2",1.83,"20X120","Cerámico","Madera","Gris","Mate","Rectificado"," $629.00 "," $343.72 ",24.65%," $259.00 "," $249.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100133","PISO VOLCANO GREY 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Piedra","Gris","Mate","Rectificado"," $559.00 "," $393.66 ",34.21%," $259.00 "," $229.00 "
"Renujal","Master","Pisos ","Pisos Renujal ","CAS100123","PISO MOON SILVER 60X120 2PZ 1.42M2","M2",1.42,"60X120","Cerámico","Piedra","Gris","Mate","Rectificado"," $559.00 "," $393.66 ",31.67%," $269.00 "," $259.00 "
"Vitromex","Master","Pisos ","Pisos Vitromex",522065441011481,"PISO BERNAL GRIS 51X102 1.57 M2","M2",1.57,"51x102","Cerámico","Cantera","Gris","Mate","No Rectificado"," $529.00 "," $336.94 ",17.20%," $279.00 "," $-   "
