"Proveedor","Estatus","Categoría","Subcategoria","Codigo","Descripcion","Udm","Presentación","Color","Precio sistema","Descuento autorizado","Precio venta Final","Comentarios"
"Niasa","Master","Polvos","Boquillas","BF","BOQUICHAMP ULTRAFINA SIN ARENA 5 KG","Saco","5kg",," $299.00 ",15.38%," $253.00 ",
"Cemix","Master","Polvos","Boquillas","CMX..","BOQUILLA EXTRAFINA 2KG","Saco","2kg",," $169.00 ",23.67%," $129.00 ",
"Cemix","Master","Polvos","Boquillas","CMX..","BOQUILLEX PLUS CON ARENA 10KG","Saco","10kg",," $233.10 ",25.35%," $174.00 ",
"Cemix","Master","Polvos","Boquillas","CMX..","BOQUILLEX UNIVERSAL SIN ARENA 5KG","Saco","5kg",," $251.10 ",24.33%," $190.00 ",
"Cemix","Sobrepedido ","Polvos","Recubrimientos reforzados","CMX1022","CEMIX ADEBLOCK CONSTRUCTOR 25KG","Saco","25kg",," $239.00 ",53.97%," $110.00 ","Hasta agotar existencias "
"Cemix","Sobrepedido ","Polvos","Recubrimientos reforzados","CMX102","CEMIX ADEBLOCK CONSTRUCTOR 40KG","Saco","40kg",," $339.00 ",23.60%," $259.00 ",
"Cemix","Sobrepedido ","Polvos","Recubrimientos reforzados","CMX69","CEMIX ADEBLOK PLUS 40KG","Saco","40kg",," $369.00 ",27.10%," $269.00 ",
"Cemix","Sobrepedido ","Polvos","Recubrimientos reforzados","CMX1200","CEMIX ADEBLOK PLUS FINO 25 KG","Saco","25kg",," $279.00 ",25.09%," $209.00 ",
"Cemix","Master","Polvos","Recubrimientos reforzados","CMX120","CEMIX ADEBLOK PLUS FINO 40KG","Saco","40kg",," $439.00 ",31.89%," $299.00 ",
"Cemix","Sobrepedido ","Polvos","Adhesivo","CMX116","CEMIX AMU BLANCO 20KG","Saco","20kg","Blanco"," $679.00 ",25.04%," $509.00 ",
"Cemix","Sobrepedido ","Polvos","Recubrimientos reforzados","CMX780","CEMIX APLANADO 25 KG","Saco","25kg",," $289.00 ",24.22%," $219.00 ",
"Cemix","Master","Polvos","Recubrimientos reforzados","CMX78","CEMIX APLANADO 40 KGS","Saco","40kg ",," $409.00 ",24.45%," $309.00 ",
"Cemix","Sobrepedido ","Polvos","Recubrimientos reforzados","CMX49","CEMIX BASECOAT GRIS PREMIUM 20KG.","Saco","20kg","Gris"," $349.00 ",28.65%," $249.00 ",
"Cemix","Master","Polvos","Acabados arquitectonicos -Recubrimiento","CMX177","CEMIX DECON-CRETO 20KG","Saco","20kg",," $759.00 ",31.62%," $519.00 ",
"Cemix","Sobrepedido ","Polvos","Preparacion de superficies","CMX952","CEMIX MORTERO SECO 25 KG","Saco","25kg",," $159.00 ",18.87%," $129.00 ",
"Cemix","Sobrepedido ","Polvos","Preparacion de superficies","CMX101","CEMIX MORTERO SECO 40 KG","Saco","40kg",," $249.00 ",20.08%," $199.00 ",
"Cemix","Master","Polvos","Acabados arquitectonicos -Recubrimiento","CMX153","CEMIX PASTA FINA PLUS 20 KG","Saco","20kg",," $449.00 ",28.95%," $319.00 ",
"Cemix","Master","Polvos","Adhesivo","CMX134","CEMIX PEGAZULEJO GRIS 20KG","Saco","20kg","Gris"," $179.00 ",20.11%," $143.00 ",
"Cemix","Master","Polvos","Acabados arquitectonicos -Recubrimiento","CMX175","CHUKU-MIX CEMIX SACO 20KG","Saco","20kg",," $619.00 ",30.69%," $429.00 ",
"Niasa","Master","Polvos","Adhesivo","FIJAPORC","FIJAPORCELANICO BLANCO 20 KG","Saco","20kg","Blanco"," $339.00 ",14.16%," $291.00 ",
"Cemix","Master","Polvos","Adhesivo","CMX68","FORMATOS GRANDES 20KG","Saco","20kg",," $389.00 ",23.14%," $299.00 ","8X7"
"Yinsa","Sobre pedido - Culiacán","Polvos","Mortero","YIN02","MORTERMAX ENJARRE EXTRAFINO 25 KG","Saco","25kg","Gris"," $209.00 ",28.71%," $149.00 ",
"Yinsa","Sobre pedido - Mazatlán","Polvos","Mortero","YIN02","MORTERMAX ENJARRE EXTRAFINO 25 KG","Saco","25kg","Gris"," $209.00 ",23.92%," $159.00 ",
"Yinsa","Sobre pedido - Mochis","Polvos","Mortero","YIN02","MORTERMAX ENJARRE EXTRAFINO 25 KG","Saco","25kg","Gris"," $209.00 ",30.14%," $146.00 ",
"Yinsa","Sobre pedido - Culiacán","Polvos","Mortero","YIN01","MORTERMAX PEGUE DE BLOCK F100 25KG","Saco","25kg","Gris"," $139.00 ",28.78%," $99.00 ",
"Yinsa","Sobre pedido - Mazatlán","Polvos","Mortero","YIN01","MORTERMAX PEGUE DE BLOCK F100 25KG","Saco","25kg","Gris"," $139.00 ",21.58%," $109.00 ",
