"Proveedor","Codigo","Descripcion ","Metraje","Formato","Precio sistema Caja","Precio Regular M2","Descuento autorizado Oferta Final ","Oferta Final M2 ","Precio M2 con complementos","Comentarios"
"Neostone","NEOS513","DEVICI DESERT 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $359.00 ",
"Neostone","NEOS514","FLAVIA 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS515","FLAVIA ROSE 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS516","GLACIER ONYX 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS517","GLACIER ONYX GREY 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $429.00 ",
"Neostone","NEOS520","DEVICI GRIS 60X120 1.44M2",1.44,"60X120"," $726.98 "," $504.85 ",13.0430%," $439.00 "," $359.00 ",
"Neostone","NEOS521","SIERRA NEVADA (C126G0000QB) 60X120 2.16M2",2.16,"60X120"," $1,090.48 "," $504.85 ",13.0438%," $439.00 "," $429.00 ",
"Neostone","NEOS522","GOBLIN GREY (SH6121401Q) 60X120 2.16M2",2.16,"60X120"," $1,090.48 "," $504.85 ",13.0438%," $439.00 "," $429.00 ",
"Neostone","NEOS523","CLOUD SILVER (JA612010Q) 60X120 2.16M2",2.16,"60X120"," $1,090.48 "," $504.85 ",13.0438%," $439.00 "," $429.00 ",
"Neostone","NEOS524","ORLOK BIANCO (SH6126101Q) 60X120 2.16 M2",2.16,"60X120"," $1,090.48 "," $504.85 ",13.0438%," $439.00 "," $379.00 ",
"Neostone","NEOS148","ZET CORAL 60X120 1.44 M2",1.44,"60X120"," $809.00 "," $561.81 ",20.0791%," $449.00 "," $439.00 ",
"Neostone","NEOS247","COAL MATT 60X120 1.44M2",1.44,"60X120"," $1,029.00 "," $714.58 ",37.1662%," $449.00 "," $359.00 ",
"Neostone","NEOS424","BLACK STORM DARK MATT 60X120 1.44 M2",1.44,"60X120"," $1,029.00 "," $714.58 ",37.1662%," $449.00 "," $439.00 ",
"Neostone","NEOS423","LENART BLACK DARK MATT 60X120 1.44 M2",1.44,"60X120"," $1,029.00 "," $714.58 ",37.1662%," $449.00 "," $439.00 ",
"Neostone","NEOS060","STENCIL DECOR 60X120 1.44 M2",1.44,"60X120"," $809.00 "," $561.81 ",18.2991%," $459.00 "," $449.00 ",
"Neostone","NEOS360","ELITE STATUARIO PL 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",24.8765%," $469.00 "," $459.00 ",
"Neostone","NEOS208","IMPERIAL PEARL 60X120 1.44M2",1.44,"60X120"," $899.00 "," $624.31 ",24.8765%," $469.00 "," $459.00 ",
"Neostone","NEOS395","ARMANI CASTAL 9MM 60X120 1.44M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","NEOS442","RICHEN BLUE HG 60X120 1.44 M2",1.44,"60X120"," $869.00 "," $603.47 ",18.9689%," $489.00 "," $479.00 ",
"Neostone","MALAGA60X120","MALAGA MATT 60X120 1.44M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","NEOS163","PANDORA LIGHT 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","NEOS164","PANDORA DARK 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","NEOS144","IMPERIAL SMOKY 60X120 1.44M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","NEOS141","HK099 BLACK ANTHRACITE 60X120 1.44 M2 CLN LMOCHIS",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","NEOS118","BLACK ANTHRACITE 60X120 1.44 M2 SOLO MAZATLAN",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","CORDO60X120","CORDOBA 60X120 1.44M2 ",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","NEOS444","STATUARIO ENFOLD GL 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $429.00 ",
"Neostone","NEOS445","BRANCO WHITE GL 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $429.00 ",
"Neostone","NEOS446","STARRY SILVER GL 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $429.00 ",
"Neostone","NEOS447","STARRY GREY GL 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $429.00 ",
"Neostone","NEOS448","ESMERALD STONE BL 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $429.00 ",
"Neostone","NEOS449","GUANXI WHITE HG 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","NEOS439","PLAIN BLACK 60X120 1.44M2",1.44,"60X120"," $899.00 "," $624.31 ",21.6730%," $489.00 "," $479.00 ",
"Neostone","RODE60X120","RODEIRO 60X120 1.44 M2",1.44,"60X120"," $869.00 "," $603.47 ",13.9977%," $519.00 "," $509.00 ",
"Neostone","NEOS499","ABSOLUTE BLACK 60X120 CM 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",16.8676%," $519.00 "," $509.00 ",
"Neostone","NEOS500","MISTICEO BLACK 60X120 CM 1.44 M2",1.44,"60X120"," $869.00 "," $603.47 ",13.9977%," $519.00 "," $459.00 ",
"Neostone","NEOS097","BLACK MARQUINA 60X120 1.44 M2",1.44,"60X120"," $869.00 "," $603.47 ",13.9977%," $519.00 "," $509.00 ",
"Neostone","NEOS125","LENART BLACK 60X120 1.44 M2",1.44,"60X120"," $899.00 "," $624.31 ",16.8676%," $519.00 "," $509.00 ",
"Neostone","NEOS212","BLACK STORM 60X120 1.44 M2",1.44,"60X120"," $1,029.00 "," $714.58 ",27.3703%," $519.00 "," $509.00 ",
"Neostone","NEOS443","GOLDEN STORM 60X120 1.44M2",1.44,"60X120"," $892.58 "," $619.85 ",13.0431%," $539.00 "," $529.00 ",
"Neostone","NEOS211","DARK PHOENIX 60X120 1.44 M2",1.44,"60X120"," $1,029.00 "," $714.58 ",14.7755%," $609.00 "," $599.00 ",
"Neostone","NEOS454","DALLAS GREY MATT 60X60 1.44 M2",1.44,"60X60"," $469.00 "," $325.69 ",26.6183%," $239.00 "," $229.00 ",
"Neostone","NEOS455","MARMOL ITALIA MATT 60X60 1.44 M2",1.44,"60X60"," $469.00 "," $325.69 ",26.6183%," $239.00 "," $229.00 ",
"Neostone","NEOS456","AUSTIN DARK GREY MATT 60X60 1.44 M2",1.44,"60X60"," $469.00 "," $325.69 ",26.6183%," $239.00 "," $229.00 ",
"Neostone","NEOS457","AUSTIN LIGHT GREY MATT 60X60 1.44 M2",1.44,"60X60"," $469.00 "," $325.69 ",26.6183%," $239.00 "," $189.00 ","Hasta agotar existencias"
"Neostone","NEOS458","ONYX MATT 60X60 1.44 M2",1.44,"60X60"," $469.00 "," $325.69 ",26.6183%," $239.00 "," $229.00 ",
"Neostone","NEOS495","SAN  ANTONIO MATT 60X60 1.44 M2",1.44,"60X60"," $469.00 "," $325.69 ",26.6183%," $239.00 "," $229.00 ",
"Neostone","NEOS460","PARADISO BIANCO MATT 60X60 1.44 M2",1.44,"60X60"," $469.00 "," $325.69 ",26.6183%," $239.00 "," $189.00 ","Hasta agotar existencias"
"Neostone","NEOS461","SAN ANGELO MATT 60X60 1.44 M2",1.44,"60X60"," $469.00 "," $325.69 ",26.6183%," $239.00 "," $189.00 ","Hasta agotar existencias"
"Neostone","CPM001","PISO PORCELANICO RECT Mieres 60X60 CAJA 1.44",1.44,"60X60"," $412.34 "," $286.35 ",13.0426%," $249.00 "," $239.00 ",
"Neostone","NEOS018","OCEAN 60X60 1.44 M2",1.44,"60X60"," $412.34 "," $286.35 ",13.0426%," $249.00 "," $239.00 ",
"Neostone","NEOS338","TERUEL 60X60 1.44 M2",1.44,"60X60"," $412.34 "," $286.35 ",13.0426%," $249.00 "," $199.00 ",
"Neostone","NEOS140","PETRA NOVA GREY SATIN 60X60 1.44 M2",1.44,"60X60"," $599.00 "," $415.97 ",32.9282%," $279.00 "," $269.00 ",
"Neostone","NEOS058","NEPTUNE STATUARIO MATT 60X60 1.44 M2",1.44,"60X60"," $649.00 "," $450.69 ",27.0015%," $329.00 "," $319.00 ",
"Neostone","MALAGA60X60","MALAGA 60X60 1.44 M2",1.44,"60X60"," $649.00 "," $450.69 ",27.0015%," $329.00 "," $319.00 ",
"Neostone","NEOS019","STENCIL LT 60X60 1.44 M2",1.44,"60X60"," $649.00 "," $450.69 ",24.7827%," $339.00 "," $329.00 ",
"Neostone","NEOS057","NEPTUNE STATUARIO POLISH 60X60 1.44 M2",1.44,"60X60"," $649.00 "," $450.69 ",24.7827%," $339.00 "," $329.00 ",
"Neostone","CGP027","SIERRA NEVADA 60X60 1.44 M2",1.44,"60X60"," $627.62 "," $435.85 ",19.9261%," $349.00 "," $339.00 ",
"Neostone","EVEREST60X60","EVEREST 60X60 1.44 M2",1.44,"60X60"," $649.00 "," $450.69 ",22.5639%," $349.00 "," $339.00 ",
